source_index,s_m,x_m,y_m,w_tr_right_m,w_tr_left_m,segment_length_to_next_m
826,75.9149408348,89680.2047061760,43158.0004867464,3.2550545618,3.8132944012,0.0927746432
827,76.0077154780,89680.1810513081,43158.0901950607,3.2679053200,3.8251961519,0.0927687385
828,76.1004842164,89680.1594411761,43158.1804116945,3.2839180452,3.8354615956,0.0927927083
829,76.1932769247,89680.1396605048,43158.2710715630,3.3025767346,3.8456902803,0.0928328710
830,76.2861097957,89680.1214940194,43158.3621095811,3.3250057874,3.8569277358,0.0928771870
831,76.3789869827,89680.1047264448,43158.4534606638,3.3884537830,3.8697992948,0.0929152698
832,76.4719022524,89680.0891425060,43158.5450597260,3.4512525508,3.8846529830,0.0929383813
833,76.5648406337,89680.0745269281,43158.6368416828,3.5124591192,3.9016816720,0.0929394197
834,76.6577800534,89680.0606644360,43158.7287414492,3.5712462910,3.9210140789,0.0929129039
835,76.7506929573,89680.0473397547,43158.8206939401,3.6268947150,3.9427762434,0.0928549587
836,76.8435479160,89680.0343376093,43158.9126340704,3.6787848668,3.9671306822,0.0927633059
837,76.9363112219,89680.0214427247,43159.0044967553,3.7263926988,3.9943005437,0.0926372608
838,77.0289484826,89680.0084398260,43159.0962169096,3.7692897315,4.0245850591,0.0924777380
839,77.1214262207,89679.9951136381,43159.1877294483,3.8071466334,4.0583708478,0.0922872658
840,77.2137134864,89679.9812488860,43159.2789692865,3.8397388677,4.0961419372,0.0920700080
841,77.3057834944,89679.9666302948,43159.3698713391,3.8669531577,4.1384900590,0.0918317946
842,77.3976152890,89679.9510425894,43159.4603705211,3.8887937607,4.1861259059,0.0915801555
843,77.4891954445,89679.9342704949,43159.5504017474,3.9053883501,4.2398907627,0.0913243563
844,77.5805198008,89679.9160987363,43159.6398999331,3.9169923248,4.3007677214,0.0910754308
845,77.6715952316,89679.8963120385,43159.7287999932,3.9239900467,4.3698908687,0.0908462023
846,77.7624414339,89679.8746951265,43159.8170368426,3.9268909022,4.4485501569,0.0906512890
847,77.8530927228,89679.8510327254,43159.9045453962,3.9263174674,4.5381894071,0.0905070810
848,77.9435998039,89679.8251095602,43159.9912605692,3.9229826128,4.5125677677,0.0904316813
849,78.0340314852,89679.7967103558,43160.0771172764,3.9176540797,4.4166079541,0.0904447976
850,78.1244762828,89679.7656198373,43160.1620504329,3.9111079548,4.3263397387,0.0905675763
851,78.2150438591,89679.7316227297,43160.2459949536,3.9040759290,4.2429054990,0.0908223694
852,78.3058662285,89679.6945037580,43160.3288857536,3.8971936514,4.1672754302,0.0912230512
853,78.3970892797,89679.6540598303,43160.4106533131,3.8909645969,4.1002206422,0.0916470850
854,78.4887363647,89679.6102698603,43160.4911618637,3.8858296005,4.0196095203,0.0919866424
855,78.5807230071,89679.5632527207,43160.5702246929,3.8821134846,3.9489888790,0.0922359094
856,78.6729589165,89679.5131308755,43160.6476537806,3.8799149622,3.8884718515,0.0923932452
857,78.7653521617,89679.4600267893,43160.7232611068,3.8790678322,3.8379629315,0.0924583830
858,78.8578105447,89679.4040629261,43160.7968586516,3.8790948609,3.7971972449,0.0924324154
859,78.9502429601,89679.3453617503,43160.8682583951,3.8791689388,3.7657311523,0.0923178004
860,79.0425607604,89679.2840457260,43160.9372723172,3.8781134681,3.7429335390,0.0921183874
861,79.1346791479,89679.2202373177,43161.0037123979,3.8744773330,3.7280040786,0.0918823928
862,79.2265615407,89679.1541610200,43161.0675582826,3.8668841045,3.7198604769,0.0917568234
863,79.3183183641,89679.0864876068,43161.1295229805,3.8548882143,3.7230661529,0.0917051585
864,79.4100235226,89679.0180098366,43161.1905199565,3.8386457920,3.7303879731,0.0916777443
865,79.5017012669,89678.9495204706,43161.2514626800,3.8188665717,3.7375825737,0.0916726690
866,79.5933739359,89678.8818121726,43161.3132644973,3.7968534880,3.7433724979,0.0917102942
867,79.6850842301,89678.8155081437,43161.3766250041,3.7741449171,3.7471004157,0.0917543395
868,79.7768385696,89678.7507141346,43161.4415911122,3.7517939670,3.7491708394,0.0917902579
869,79.8686288275,89678.6874374782,43161.5080855947,3.7320296653,3.7502344865,0.0918145660
870,79.9604433935,89678.6256855074,43161.5760312246,3.7169622376,3.7508849381,0.0918238700
871,80.0522672635,89678.5654673161,43161.6453521632,3.7052027088,3.7515243062,0.0918112095
872,80.1440784730,89678.5069189872,43161.7160726792,3.6973921774,3.7520842596,0.0917858014
873,80.2358642744,89678.4503867873,43161.7883827319,3.6940968139,3.7518145393,0.0917812442
874,80.3276455186,89678.3962367193,43161.8624878391,3.6908240146,3.7494632839,0.0918380816
875,80.4194836002,89678.3448347858,43161.9385935187,3.6812307964,3.7433406000,0.0919992047
876,80.5114828049,89678.2965008793,43162.0168730636,3.6773765335,3.7315665733,0.0922125080
877,80.6036953129,89678.2507366943,43162.0969279573,3.6781562737,3.7133667669,0.0923165482
878,80.6960118611,89678.2063412721,43162.1778686242,3.6817492160,3.6893568800,0.0922295812
879,80.7882414423,89678.1620908209,43162.2587895314,3.6866100470,3.6610333097,0.0919458605
880,80.8801873028,89678.1167615487,43162.3387851459,3.6914933986,3.6308091034,0.0915343143
881,80.9717216171,89678.0691296638,43162.4169499348,3.6952303517,3.6017674413,0.0911406534
882,81.0628622705,89678.0179713742,43162.4923783653,3.6963534024,3.5771525756,0.0909891872
883,81.1538514578,89677.9620808091,43162.5641786224,3.6927877901,3.5598381961,0.0912636018
884,81.2451150596,89677.9013276326,43162.6322821948,3.6831267592,3.5507009078,0.0917135834
885,81.3368286430,89677.8372487553,43162.6978968186,3.6677080791,3.5479168388,0.0920467371
886,81.4288753801,89677.7715245258,43162.7623400298,3.6472644586,3.5497037217,0.0921241413
887,81.5209995214,89677.7058352930,43162.8269293640,3.6232626050,3.5744297265,0.0919546419
888,81.6129541633,89677.6418614055,43162.8929823570,3.5981212500,3.5928842121,0.0917026971
889,81.7046568604,89677.5811333985,43162.9616954841,3.5748519988,3.6041785578,0.0916119584
890,81.7962688188,89677.5238861105,43163.0332182003,3.5598216535,3.6096026768,0.0916791868
891,81.8879480055,89677.4696907083,43163.1071636644,3.5521955292,3.6112805597,0.0918301162
892,81.9797781217,89677.4181129769,43163.1831406864,3.5492814038,3.6109194996,0.0920013784
893,82.0717795001,89677.3687187013,43163.2607580759,3.5506148870,3.6096430022,0.0921411132
894,82.1639206133,89677.3210736663,43163.3396246428,3.5553377414,3.6080548744,0.0922088624
895,82.2561294756,89677.2747436570,43163.4193491970,3.5623872188,3.6064273236,0.0921752813
896,82.3483047569,89677.2292944583,43163.4995405482,3.5706840165,3.6049050525,0.0920295413
897,82.4403342982,89677.1843014151,43163.5798216950,3.5792775909,3.6036407631,0.0918597305
898,82.5321940287,89677.1394591290,43163.6599926340,3.5875831088,3.6026953116,0.0917299809
899,82.6239240095,89677.0945431818,43163.7399735510,3.5953111124,3.6021119091,0.0916427312
900,82.7155667408,89677.0493306988,43163.8196869223,3.6022910769,3.6020190454,0.0916009469
901,82.8071676877,89677.0035988052,43163.8990552245,3.6054465168,3.6025973960,0.0916090000
902,82.8987766877,89676.9571290503,43163.9780031236,3.6059372948,3.6040464462,0.0916519148
903,82.9904286025,89676.9099336717,43164.0565694632,3.6056075112,3.6063196913,0.0916956780
904,83.0821242805,89676.8623638068,43164.1349608231,3.6048709976,3.6090077252,0.0917322203
905,83.1738565008,89676.8147976679,43164.2133971838,3.6041630237,3.6116674105,0.0917619199
906,83.2656184207,89676.7676134676,43164.2920985254,3.6039117712,3.6138767276,0.0917914100
907,83.3574098307,89676.7211894180,43164.3712848284,3.6045433430,3.6152272789,0.0918333169
908,83.4492431475,89676.6758986084,43164.4511728791,3.6064907836,3.6153370222,0.0918776999
909,83.5411208474,89676.6316957220,43164.5317186212,3.6097345911,3.6143532414,0.0918675165
910,83.6329883639,89676.5878134587,43164.6124278992,3.6134733726,3.6133266594,0.0917875994
911,83.7247759633,89676.5434129552,43164.6927619436,3.6168943122,3.6134405289,0.0916586142
912,83.8164345775,89676.4976553486,43164.7721819851,3.6192142899,3.6158800197,0.0915338202
913,83.9079683977,89676.4497017756,43164.8501492544,3.6195899968,3.6144441597,0.0914962877
914,83.9994646854,89676.3989023347,43164.9262477923,3.6172417281,3.6162280871,0.0915729896
915,84.0910376750,89676.3455685479,43165.0006864892,3.6123184138,3.6216035110,0.0917002015
916,84.1827378765,89676.2903169445,43165.0738724666,3.6055256949,3.6295739174,0.0918224240
917,84.2745603005,89676.2337641776,43165.1462129262,3.6033352010,3.6390322652,0.0919022534
918,84.3664625539,89676.1765269000,43165.2181150697,3.6007860656,3.6488888309,0.0919202009
919,84.4583827548,89676.1192217649,43165.2899860989,3.5984587650,3.6581872406,0.0918745228
920,84.5502572776,89676.0624654253,43165.3622332154,3.5970275749,3.6661616939,0.0917816502
921,84.6420389279,89676.0068690913,43165.4352600527,3.5972502701,3.6722267134,0.0916923500
922,84.7337312779,89675.9527476091,43165.5092759443,3.5995737500,3.6762531563,0.0916447416
923,84.8253760195,89675.8999730330,43165.5841999244,3.6039003755,3.6786527009,0.0916315992
924,84.9170076188,89675.8483812011,43165.6599272831,3.6100317693,3.6798187928,0.0916438285
925,85.0086514472,89675.7978079513,43165.7363533108,3.6177030857,3.6800497149,0.0916735533
926,85.1003250005,89675.7480891217,43165.8133732976,3.6266048526,3.6795535553,0.0917141347
927,85.1920391352,89675.6990605504,43165.8908825337,3.6364234761,3.6784785660,0.0917601787
928,85.2837993140,89675.6505580752,43165.9687763095,3.6468855178,3.6769522145,0.0918075395
929,85.3756068534,89675.6024175343,43166.0469499152,3.6564802309,3.6751161444,0.0918533173
930,85.4674601707,89675.5544747656,43166.1252986409,3.6528640800,3.6731518751,0.0918958561
931,85.5593560267,89675.5065656072,43166.2037177769,3.6494119442,3.6712997355,0.0919347397
932,85.6512907664,89675.4585258970,43166.2821026135,3.6458994216,3.6698785549,0.0919707887
933,85.7432615552,89675.4101914771,43166.3603484430,3.6421943774,3.6693130380,0.0919933389
934,85.8352548940,89675.3615591059,43166.4384360020,3.6384936725,3.6699856284,0.0919565664
935,85.9272114604,89675.3132137580,43166.5166583609,3.6358535493,3.6717745036,0.0918589456
936,86.0190704060,89675.2658747750,43166.5953799373,3.6356770296,3.6745351144,0.0917299123
937,86.1108003183,89675.2202614988,43166.6749651484,3.6394694088,3.6781228320,0.0916203004
938,86.2024206187,89675.1770932710,43166.7557784120,3.6153115460,3.6821358813,0.0916024667
939,86.2940230854,89675.1370894335,43166.8381841453,3.5967366612,3.6855598259,0.0917151306
940,86.3857382160,89675.1009482820,43166.9224781685,3.5851096903,3.6864905764,0.0918215832
941,86.4775597991,89675.0692788869,43167.0086654793,3.5682574624,3.6822069382,0.0919440739
942,86.5695038730,89675.0426666773,43167.0966740188,3.5517037418,3.6693013848,0.0921662699
943,86.6616701430,89675.0215646650,43167.1863920571,3.5454741126,3.6445086499,0.0922971533
944,86.7539672963,89675.0041998357,43167.2770409799,3.5476073251,3.6078616727,0.0918811045
945,86.8458484008,89674.9869511250,43167.3672885248,3.5546706413,3.5630914408,0.0909108539
946,86.9367592547,89674.9661414687,43167.4557856521,3.5637030055,3.5143155084,0.0899168082
947,87.0266760629,89674.9386672320,43167.5414022318,3.5725139684,3.4688227626,0.0895573397
948,87.1162334026,89674.9043843466,43167.6241379609,3.5815666479,3.4308673662,0.0897646728
949,87.2059980754,89674.8641007704,43167.7043559761,3.5911766482,3.4025721692,0.0903436824
950,87.2963417577,89674.8186249137,43167.7824195874,3.6001664365,3.3847368494,0.0911234832
951,87.3874652410,89674.7687651870,43167.8586921044,3.6060690138,3.3766977876,0.0919622374
952,87.4794274783,89674.7153300009,43167.9335368369,3.6057959758,3.3766614226,0.0927481411
953,87.5721756194,89674.6591277657,43168.0073170947,3.5965042609,3.3822674520,0.0933982925
954,87.6655739119,89674.6009668920,43168.0803961875,3.5763659674,3.3911358186,0.0938567762
955,87.7594306882,89674.5416557903,43168.1531374252,3.5450447017,3.4012475048,0.0940928386
956,87.8535235268,89674.4820028710,43168.2259041174,3.5038127593,3.4111118831,0.0940996390
957,87.9476231658,89674.4228165446,43168.2990595740,3.4553411378,3.4197391946,0.0938937933
958,88.0415169592,89674.3649052215,43168.3729671047,3.4315526989,3.4264728809,0.0935157375
959,88.1350326966,89674.3090773124,43168.4479900193,3.4187559884,3.4307626680,0.0930307752
960,88.2280634719,89674.2561412275,43168.5244916275,3.4094592156,3.4319757479,0.0925308963
961,88.3205943682,89674.2068985972,43168.6028314649,3.4050206786,3.4293360908,0.0921402256
962,88.4127345938,89674.1611389862,43168.6828057056,3.4054760388,3.4231429563,0.0917921599
963,88.5045267536,89674.1165738014,43168.7630537269,3.4084139484,3.4161303917,0.0913901972
964,88.5959169509,89674.0706591828,43168.8420728129,3.4111312238,3.4114822390,0.0911055669
965,88.6870225177,89674.0209627943,43168.9184304797,3.4137572320,3.4139286661,0.0911863627
966,88.7782088805,89673.9668623346,43168.9918341105,3.4160717096,3.4239207557,0.0915263780
967,88.8697352584,89673.9092048750,43169.0629164234,3.4149584896,3.4395743640,0.0919689957
968,88.9617042541,89673.8488799478,43169.1323368766,3.4117991520,3.4594820173,0.0924001910
969,89.0541044451,89673.7867770855,43169.2007549283,3.4076342874,3.4820019556,0.0927476484
970,89.1468520935,89673.7237854501,43169.2688297412,3.4032866891,3.5054320670,0.0930002147
971,89.2398523082,89673.6605715359,43169.3370429436,3.3992419733,3.5284732165,0.0932099203
972,89.3330622284,89673.5972025763,43169.4053983692,3.3952882871,3.5508214821,0.0933862701
973,89.4264484986,89673.5336460182,43169.4738202909,3.3912035473,3.5725373817,0.0935294873
974,89.5199779859,89673.4698693085,43169.5422329818,3.3868743140,3.5938578295,0.0936399758
975,89.6136179617,89673.4058398939,43169.6105607151,3.3822607747,3.6155851329,0.0937183206
976,89.7073362823,89673.3415252216,43169.6787277639,3.3773607561,3.6378104855,0.0937652888
977,89.8011015710,89673.2768927383,43169.7466584012,3.3721846229,3.6606638267,0.0937818311
978,89.8948834022,89673.2119098909,43169.8142769001,3.3667423487,3.6844467229,0.0937690848
979,89.9886524870,89673.1465441264,43169.8815075338,3.3610393584,3.7094210851,0.0937283771
980,90.0823808641,89673.0807628917,43169.9482745752,3.3550771465,3.7358191685,0.0936612291
981,90.1760420932,89673.0145336336,43170.0145022976,3.3488556758,3.7638561215,0.0935693611
982,90.2696114542,89672.9478237990,43170.0801149740,3.3547277926,3.7937417590,0.0934546973
983,90.3630661516,89672.8806008349,43170.1450368775,3.3846404592,3.8108806455,0.0933193726
984,90.4563855242,89672.8128321882,43170.2091922811,3.4122622084,3.8157632702,0.0931657379
985,90.5495512621,89672.7444853056,43170.2725054581,3.4375817596,3.8222619372,0.0929963673
986,90.6425476294,89672.6755276343,43170.3349006814,3.4606078636,3.8305751411,0.0928140642
987,90.7353616937,89672.6059266209,43170.3963022242,3.4813673169,3.8409156399,0.0926218679
988,90.8279835615,89672.5356497125,43170.4566343596,3.4999040576,3.8535119434,0.0924230596
989,90.9204066211,89672.4646643559,43170.5158213606,3.5162787371,3.8686099973,0.0922211677
990,91.0126277888,89672.3929379981,43170.5737875003,3.5305686479,3.8864749717,0.0920199726
991,91.1046477613,89672.3204380859,43170.6304570519,3.5428676378,3.9073931344,0.0918235094
992,91.1964712708,89672.2471320663,43170.6857542885,3.5532859700,3.8764803945,0.0916360702
993,91.2881073410,89672.1729873860,43170.7396034830,3.5619501433,3.8341756835,0.0914622026
994,91.3795695436,89672.0979714921,43170.7919289087,3.5690026363,3.7945601102,0.0913067075
995,91.4708762511,89672.0220518314,43170.8426548386,3.5746013508,3.7578855793,0.0911746326
996,91.5620508837,89671.9451958509,43170.8917055458,3.5789183518,3.7244091421,0.0910712627
997,91.6531221464,89671.8673709974,43170.9390053034,3.5821372763,3.6943918868,0.0910021069
998,91.7441242533,89671.7885447178,43170.9844783845,3.5844486291,3.6680960232,0.0909728799
999,91.8350971333,89671.7086844590,43171.0280490622,3.5860422745,3.6457796015,0.0909894802
1000,91.9260866135,89671.6277576679,43171.0696416096,3.5870968165,3.6238534327,0.0910579619
1001,92.0171445754,89671.5457317915,43171.1091802997,3.5877662044,3.6032158456,0.0911845025
1002,92.1083290779,89671.4625742765,43171.1465894058,3.5881645541,3.5872186740,0.0913753570
1003,92.1997044349,89671.3782525806,43171.1817932047,3.5883505923,3.5760089888,0.0916068987
1004,92.2913113336,89671.2927717265,43171.2147302275,3.5883384603,3.5696532490,0.0917836924
1005,92.3830950260,89671.2062586329,43171.2453852570,3.5881422391,3.5680702327,0.0918823253
1006,92.4749773514,89671.1188648998,43171.2737524409,3.5877027243,3.5710905330,0.0918991282
1007,92.5668764796,89671.0307421270,43171.2998259270,3.5868687622,3.5623857585,0.0918309738
1008,92.6587074535,89670.9420419144,43171.3235998633,3.5854028410,3.5460216361,0.0917008998
1009,92.7504083533,89670.8528988019,43171.3451070834,3.5830286363,3.5341264702,0.0916178198
1010,92.8420261730,89670.7633693759,43171.3645571934,3.5795725524,3.5261690904,0.0915985699
1011,92.9336247429,89670.6734879695,43171.3822102609,3.5749019091,3.5215512491,0.0916274965
1012,93.0252522394,89670.5832889145,43171.3983263580,3.5689324458,3.5196800053,0.0916911199
1013,93.1169433593,89670.4928065424,43171.4131655562,3.5616772671,3.5199967994,0.0917781956
1014,93.2087215549,89670.4020751848,43171.4269879274,3.5532869925,3.5220047103,0.0918797438
1015,93.3006012988,89670.3111291733,43171.4400535433,3.5440731381,3.5252898017,0.0919890579
1016,93.3925903566,89670.2200028396,43171.4526224758,3.5421881211,3.5295348330,0.0921017010
1017,93.4846920577,89670.1287305152,43171.4649547965,3.5546071874,3.5345261758,0.0922046871
1018,93.5768967447,89670.0373459055,43171.4772249812,3.5667302056,3.5359720153,0.0922368617
1019,93.6691336065,89669.9458791427,43171.4891190960,3.5779337923,3.5295596242,0.0921824580
1020,93.7613160645,89669.8543590936,43171.5001502419,3.5876585378,3.5246228448,0.0920549469
1021,93.8533710115,89669.7628146234,43171.5098313185,3.5956190762,3.5219405172,0.0918754766
1022,93.9452464881,89669.6712745976,43171.5176752249,3.6017765286,3.5223429183,0.0916730359
1023,94.0369195239,89669.5797678813,43171.5231948606,3.6062402580,3.5266176709,0.0914846372
1024,94.1284041611,89669.4883233399,43171.5259031249,3.6091181570,3.5354035486,0.0913554078
1025,94.2197595689,89669.3969698387,43171.5253129171,3.6103628247,3.5491151110,0.0913396596
1026,94.3110992285,89669.3057321777,43171.5209975215,3.6097313697,3.5678819241,0.0914718811
1027,94.4025711095,89669.2145776102,43171.5133850424,3.6075716815,3.5908467978,0.0916773167
1028,94.4942484262,89669.1234307090,43171.5035375656,3.6046766568,3.5933507823,0.0918771874
1029,94.5861256137,89669.0322150388,43171.4925321539,3.6017926523,3.5889116480,0.0920310549
1030,94.6781566685,89668.9408541644,43171.4814458703,3.5997330273,3.5855357792,0.0921355900
1031,94.7702922586,89668.8492770758,43171.4713165170,3.5994341126,3.5819705952,0.0921808581
1032,94.8624731167,89668.7575473035,43171.4622083076,3.6010734861,3.5781496633,0.0921230892
1033,94.9545962059,89668.6658685722,43171.4531709525,3.6040618313,3.5752873891,0.0919588423
1034,95.0465550482,89668.5744511634,43171.4432067147,3.6080183413,3.5749268339,0.0917195964
1035,95.1382746446,89668.4835053585,43171.4313178570,3.6127597347,3.5788583055,0.0914710186
1036,95.2297456632,89668.3932414390,43171.4165066422,3.6181569502,3.5494299769,0.0913135921
1037,95.3210592552,89668.3038696864,43171.3977753332,3.6239125673,3.5205185583,0.0913645825
1038,95.4124238377,89668.2155807961,43171.3742687644,3.6294567711,3.4994111362,0.0915838695
1039,95.5040077072,89668.1284294448,43171.3461218798,3.6346318782,3.4867199739,0.0918575626
1040,95.5958652698,89668.0424126029,43171.3138896796,3.6390707820,3.4821469728,0.0921108505
1041,95.6879761203,89667.9575270317,43171.2781286872,3.6418680507,3.4578823841,0.0922799595
1042,95.7802560799,89667.8737694924,43171.2393954257,3.6417858126,3.4394443523,0.0923132077
1043,95.8725692876,89667.7911353858,43171.1982453013,3.6375042529,3.4273661105,0.0922558444
1044,95.9648251320,89667.7095499475,43171.1551760885,3.6278007241,3.4203190244,0.0922046209
1045,96.0570297529,89667.6288357794,43171.1106012618,3.6116973073,3.4170140520,0.0921446442
1046,96.1491743971,89667.5488073331,43171.0649276014,3.5886402759,3.4162829950,0.0920571862
1047,96.2412315834,89667.4692790604,43171.0185618879,3.5585595263,3.4171343749,0.0919299540
1048,96.3331615374,89667.3900654132,43170.9719109016,3.5218796208,3.4187745999,0.0917570795
1049,96.4249186169,89667.3109808430,43170.9253814227,3.4794978247,3.4205997697,0.0915391391
1050,96.5164577560,89667.2318398018,43170.8793802317,3.4327315880,3.4221615686,0.0912832172
1051,96.6077409731,89667.1524567412,43170.8343141090,3.4100982667,3.4231087564,0.0910030139
1052,96.6987439870,89667.0726461129,43170.7905898348,3.4006246751,3.4231080537,0.0907204621
1053,96.7894644492,89666.9922225328,43170.7486106730,3.3931123612,3.4217579682,0.0905633606
1054,96.8800278098,89666.9110123745,43170.7085278527,3.3880277815,3.4187310898,0.0907044525
1055,96.9707322623,89666.8288614318,43170.6700763207,3.3853041587,3.4138770182,0.0911471048
1056,97.0618793672,89666.7456173168,43170.6329520423,3.3846992543,3.4069030311,0.0918792233
1057,97.1537585904,89666.6611276420,43170.5968509826,3.3859125055,3.3974400283,0.0928900470
1058,97.2466486374,89666.5752400196,43170.5614691067,3.3887514681,3.3852347649,0.0941699423
1059,97.3408185797,89666.4878027001,43170.5265020769,3.3933783771,3.3704106951,0.0954164003
1060,97.4362349800,89666.3990537242,43170.4914605481,3.4002868182,3.3541394151,0.0958323907
1061,97.5320673707,89666.3102825687,43170.4553561293,3.4100516573,3.3395379992,0.0953334241
1062,97.6274007948,89666.2229542204,43170.4171171264,3.4242704020,3.3310795412,0.0940454214
1063,97.7214462162,89666.1385336662,43170.3756718453,3.4456453692,3.3344184331,0.0921860178
1064,97.8136322341,89666.0584858931,43170.3299485921,3.4774206713,3.3559870115,0.0900864473
1065,97.9037186814,89665.9842758878,43170.2788756726,3.5221326289,3.3852642979,0.0882166219
1066,97.9919353032,89665.9173686373,43170.2213813928,3.5797349801,3.4382799033,0.0872046767
1067,98.0791399800,89665.8591894146,43170.1564211458,3.6456929883,3.5205016156,0.0877581578
1068,98.1668981378,89665.8096527934,43170.0839807053,3.7117079145,3.6280909799,0.0895645002
1069,98.2564626379,89665.7667298767,43170.0053713998,3.7989655756,3.7512460871,0.0918247750
1070,98.3482874129,89665.7282637745,43169.9219918562,3.8793112015,3.8778748665,0.0939880590
1071,98.4422754719,89665.6920975963,43169.8352407018,3.9025119964,3.9962406590,0.0957582354
1072,98.5380337073,89665.6560744520,43169.7465165635,3.8592290136,4.0972964855,0.0970626873
1073,98.6350963946,89665.6180418546,43169.6572154616,3.7529259699,4.1759491712,0.0981050065
1074,98.7332014012,89665.5765569510,43169.5683132958,3.6297245641,4.2317877583,0.0991528042
1075,98.8323542053,89665.5316622387,43169.4799066027,3.5284015286,4.2688408346,0.1002101768
1076,98.9325643821,89665.4835868412,43169.3919814318,3.4182569627,4.2924690115,0.1012550358
1077,99.0338194179,89665.4325598817,43169.3045238325,3.3056975761,4.3078242473,0.1022677368
1078,99.1360871547,89665.3788104836,43169.2175198545,3.1952875671,4.3190841856,0.1032309165
1079,99.2393180712,89665.3225677703,43169.1309555471,3.0897875752,4.3292129091,0.1041293146
1080,99.3434473858,89665.2640608651,43169.0448169599,3.0157015740,4.3400694449,0.1049495966
1081,99.4483969823,89665.2035188914,43168.9590901423,3.0381486936,4.3526714353,0.1056801823
1082,99.5540771647,89665.1411709727,43168.8737611440,3.0625687860,4.3674780494,0.1063110884
1083,99.6603882530,89665.0772462321,43168.7888160143,3.0884543718,4.3846237772,0.1068337853
1084,99.7672220384,89665.0119737932,43168.7042408027,3.1153400733,4.4040840603,0.1072410732
1085,99.8744631115,89664.9455827792,43168.6200215589,3.1428023503,4.4257795960,0.1075269743
1086,99.9819900859,89664.8783023135,43168.5361443322,3.1704541295,4.4496360677,0.1076866455
1087,100.0896767314,89664.8103615196,43168.4525951722,3.1979385988,4.4756157774,0.1077163068
1088,100.1973930382,89664.7419895207,43168.3693601284,3.2383659261,4.5037328387,0.1076131894
1089,100.3050062276,89664.6734154402,43168.2864252502,3.3235721312,4.5340603350,0.1073755000
1090,100.4123817276,89664.6048684015,43168.2037765872,3.4047173543,4.5667345222,0.1070024038
1091,100.5193841314,89664.5365775280,43168.1214001889,3.4811588636,4.6019590816,0.1064940238
1092,100.6258781552,89664.4687719430,43168.0392821048,3.5522852558,4.6400109822,0.1058514602
1093,100.7317296153,89664.4016807698,43167.9574083843,3.6175253175,4.6812485149,0.1050768273
1094,100.8368064426,89664.3355331319,43167.8757650770,3.6851008973,4.7261228118,0.1041733121
1095,100.9409797548,89664.2705581526,43167.7943382323,3.7655037191,4.7751937450,0.1031452549
1096,101.0441250097,89664.2069849552,43167.7131138998,3.8342617811,4.8291513190,0.1019982534
1097,101.1461232630,89664.1450426633,43167.6320781290,3.8908563348,4.8821692003,0.1007392947
1098,101.2468625578,89664.0849604000,43167.5512169694,3.9349449108,4.9322486615,0.0993769163
1099,101.3462394741,89664.0269672887,43167.4705164704,3.9663791718,4.9889941173,0.0979213983
1100,101.4441608723,89663.9712924529,43167.3899626815,3.9852216057,5.0537600097,0.0963849910
1101,101.5405458634,89663.9181650158,43167.3095416524,3.9917607830,5.1370170535,0.0947821775
1102,101.6353280408,89663.8678141010,43167.2292394324,3.9865247990,5.2354108447,0.0931299699
1103,101.7284580108,89663.8204688316,43167.1490420710,3.9702923596,5.3496566050,0.0914482372
1104,101.8199062480,89663.7763583311,43167.0689356179,3.9441007092,5.4450728402,0.0897600519
1105,101.9096662999,89663.7357117229,43166.9889061223,3.9092497169,5.4245037367,0.0880920386
1106,101.9977583385,89663.6987581302,43166.9089396340,3.8673039873,5.4141451593,0.0864746947
1107,102.0842330332,89663.6657266766,43166.8290222023,3.8200890874,5.3856870972,0.0849426359
1108,102.1691756691,89663.6368464852,43166.7491398767,3.7696794182,5.2517538611,0.0835347050
1109,102.2527103740,89663.6123466796,43166.6692787068,3.7432899881,5.1321950377,0.0822938611
1110,102.3350042351,89663.5924563830,43166.5894247421,3.7230578945,5.0172816335,0.0812667559
1111,102.4162709910,89663.5774047189,43166.5095640321,3.7086490191,4.7853805099,0.0805029033
1112,102.4967738943,89663.5674208105,43166.4296826261,3.7021175178,4.5838903376,0.0800533800
1113,102.5768272743,89663.5627337813,43166.3497665739,3.7049439634,4.4035907882,0.0799690502
1114,102.6567963244,89663.5635727547,43166.2698019248,3.7639424803,4.2476108029,0.0802984079
1115,102.7370947324,89663.5701668539,43166.1897747283,3.8591934479,4.0329879615,0.0810852434
1116,102.8181799757,89663.5827452023,43166.1096710340,3.9555294529,3.7999387736,0.0823664331
1117,102.9005464088,89663.6015369234,43166.0294768914,4.0386584378,3.6212861166,0.0841701935
1118,102.9847166023,89663.6267711404,43165.9491783499,4.0903682768,3.5440269583,0.0865150780
1119,103.0712316804,89663.6586769768,43165.8687614590,4.0925683833,3.5245026082,0.0894098580
1120,103.1606415383,89663.6974835559,43165.7882122683,4.0332004841,3.5203218107,0.0926330721
1121,103.2532746105,89663.7428673815,43165.7074583556,3.9119314460,3.5295094809,0.0940576248
1122,103.3473322353,89663.7897635361,43165.6259256169,3.7458154486,3.5469658418,0.0926701587
1123,103.4400023940,89663.8306944742,43165.5427846726,3.5617645573,3.5658423674,0.0898809261
1124,103.5298833201,89663.8581635518,43165.4572041219,3.4818781241,3.5785282872,0.0890434759
1125,103.6189267961,89663.8662021838,43165.3685242426,3.4396875892,3.5772444459,0.0914323422
